Country,Survey_name,Short_name,Year_of_collection,Type_of_study,Main_unit_of_observation,Other_units,Sample_size,Survey_coverage,Main_data_producer,Other_data_producers,Funders,Study_weblink,Company_that_collected_data,Mode_of_data_collection,Type_of_data,Primary_data_available,For_free,Data_weblink,Publication_and_other_links,Survey_description
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2010,,,,,,,,,,,,,,,,,Description not available
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2010,individual survey,individual,,"1,500",national,IRI,Baltic Surveys / The Gallup Organization,USAID,https://www.iri.org/resource/iri-releases-survey-kyrgyzstan-public-opinion-0,SIAR-Bishkek,PAPI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2009,individual survey,individual,,"1,500",national,IRI,Baltic Surveys / The Gallup Organization,USAID,https://www.iri.org/resource/iri-releases-survey-kyrgyzstani-public-opinion-1,SIAR-Bishkek,PAPI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2008,individual survey,individual,,"1,500",national,IRI,Baltic Surveys / The Gallup Organization,USAID,https://www.iri.org/resource/iri-releases-survey-kyrgyzstani-public-opinion-0,SIAR-Bishkek,PAPI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2007,,,,,,,,,,,,,,,,,Description not available
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2007,individual survey,individual,,"1,500",national,IRI,Baltic Surveys / The Gallup Organization,USAID,https://www.iri.org/sites/default/files/2007-07-03-Kyrgyzstan.pdf,SIAR-Bishkek,PAPI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2006,individual survey,individual,,"1,500",national,IRI,Baltic Surveys / The Gallup Organization,USAID,"http://www.iri.org/sites/default/files/2006%20November%2022%20Survey%20of%20Kyrgyzstani%20Public%20Opinion,%20October%207-25,%202006%281%29.pdf",SIAR-Bishkek,PAPI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2006,individual survey,individual,,"1,500",national,IRI,Baltic Surveys / The Gallup Organization,USAID,https://www.iri.org/sites/default/files/2006-06-08-Kyrgyzstan%20March%20Poll.pdf,SIAR-Bishkek,PAPI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2005,,,,,,,,,https://www.iri.org/resource/iris-preliminary-statement-kyrgyz-republics-presidential-election,,,,,,,,Description not available
Kyrgyzstan,"Ethnic Riots and Prosocial Behavior: Evidence from Kyrgyzstan
",ERPB,2017,individual survey,individual,,"1,100",Osh,,,,https://doi.org/10.1017/S000305541900042X,,,cross-sectional,Yes,Yes,https://doi.org/10.7910/DVN/WVBZNE,,"The authors implement a representative survey, which includes unobtrusive experimental measures of prosocial behavior."
Kyrgyzstan,Agadjanian surveys,,,,,,,,,,,,,,,,,,,Description not available
Kyrgyzstan,Mercy Corps baseline survey on school meals,MCS,2019,individual survey,individual,household,"3,000",most regions,ISDC,Mercy Corps,,https://isdc.org/projects/child-development-in-the-context-of-a-school-feeding-programme-in-kyrgyzstan/,Erfolg,,cross-sectional,No,,,,"In this project, ISDC studies the effects of nutrition on health and education among Kyrgyz children, and the causal impacts of the McGovern-Dole Food for Education and Child Nutrition Program on these outcomes."
Kyrgyzstan,Baseline study on social cohesion,SoCo,2014,household survey,individual,"household, community","6,343","Osh, Naryn",UCA / SIPRI,,,https://www.sipri.org/research/peace-and-development/governance-and-society/social-cohesion-through-community-based-development,Sotseconic,,panel,No,,,,"This project aims to identify and test innovative approaches to enhance social cohesion in select communities in Kyrgyzstan by engaging and mobilizing the local population to implement micro-projects to address local development needs. These activities will be complemented by rigorous research, analysis, and monitoring throughout the life of the project."
Kyrgyzstan,Midline study on social cohesion,SoCo,2016,household survey,individual,"household, community","6,783","Osh, Naryn",UCA / SIPRI,,,https://www.sipri.org/research/peace-and-development/governance-and-society/social-cohesion-through-community-based-development,Sotseconic,,panel,No,,,,"This project aims to identify and test innovative approaches to enhance social cohesion in select communities in Kyrgyzstan by engaging and mobilizing the local population to implement micro-projects to address local development needs. These activities will be complemented by rigorous research, analysis, and monitoring throughout the life of the project."
Kyrgyzstan,Endline survey on social cohesion,SoCo,2017,household survey,individual,"household, community","6,846","Osh, Naryn",UCA / SIPRI,,,https://www.sipri.org/research/peace-and-development/governance-and-society/social-cohesion-through-community-based-development,Sotseconic,,panel,No,,,,"This project aims to identify and test innovative approaches to enhance social cohesion in select communities in Kyrgyzstan by engaging and mobilizing the local population to implement micro-projects to address local development needs. These activities will be complemented by rigorous research, analysis, and monitoring throughout the life of the project."
Kyrgyzstan,Life in Transition,LiT,2006,individual survey,individual,household,"1,000",national,EBRD,,,https://www.ebrd.com/news/publications/special-reports/life-in-transition-survey-i.html,Synovate,,cross-sectional,Yes,Yes,https://www.ebrd.com/what-we-do/economic-research-and-data/data/lits.html,,"In 2006 the EBRD, in collaboration with the World Bank, carried out a survey of 29,000 individuals across 29 countries to assess public attitudes, well-being and the impact of economic and political change."
Kyrgyzstan,Life in Transition,LiT,2010,individual survey,individual,household,"1,000",national,EBRD,,"CIDA, CEI, DFID",https://www.ebrd.com/news/publications/special-reports/life-in-transition-survey-ii.html,Ipsos MORI,,cross-sectional,Yes,Yes,https://www.ebrd.com/what-we-do/economic-research-and-data/data/lits.html,,"The Life in Transition survey II, conducted jointly by the European Bank for Reconstruction and Development and the World Bank in late 2010, surveyed almost 39,000 households in 34 countries to assess public attitudes, well-being and the impacts of economic and political change."
Kyrgyzstan,Life in Transition,LiT,2016,individual survey,individual,household,"1,000",national,EBRD,,,https://litsonline-ebrd.com/,SIAR,,cross-sectional,Yes,Yes,https://www.ebrd.com/what-we-do/economic-research-and-data/data/lits.html,,"To understand how transition is affecting the daily lives of people in the region and how it shapes their views on issues such as democracy and the market economy, as well as their satisfaction with life and their hopes for the future EBRD has conducted a major survey across countries."
Kyrgyzstan,Transition from school to work in Kyrgyzstan,TSW,2011,individual survey,individual,,"2,100",national,European Training Foundation,,,https://www.etf.europa.eu/en/publications-and-resources/publications/transition-school-work-kyrgyzstan-results-201112-transition,El Group,PAPI,cross-sectional,No,,,,"To find out about the education of the current cohort of labour market entrants, their employment opportunities and their early career mobility, the ETF conducted a study of young people’s transition from school to work in Kyrgyzstan in 2011/12. This study presents the first comprehensive picture of young people’s educational attainment and employment performance on leaving education in Kyrgyzstan, covering the capital Bishkek, Osh and all other regions of the country, and including all education levels."
Kyrgyzstan,Programme for the International Assessment of Adult Competencies,PIAAC,2019,individual survey,individual,,"2,634",national,World Bank,,,https://openknowledge.worldbank.org/handle/10986/34495,World Bank,"PAPI, CAPI",cross-sectional,No,,,https://akipress.com/news:612587:Kyrgyzstan_joins_Programme_for_the_International_Assessment_of_Adult_Competencies/,"Building the Right Skills for Human Capital summarizes the findings from the 2019 skills survey for the adult Kyrgyz population. The skills measures used in the survey focused on literacy, numeracy, and problem solving in technology rich environments (PSTRE) and followed the same questions and approach as the Organisation for Economic Co-operation and Development’s Programme for the International Assessment of Adult (PIAAC) surveys."
Kyrgyzstan,Kyrgyz Multipurpose Poverty Survey,KMPS,1993,household survey,household,individual,"1,937",national,World Bank,,,https://microdata.worldbank.org/index.php/catalog/280,NSC,PAPI,cross-sectional,Yes,Yes,https://microdata.worldbank.org/index.php/catalog/280#metadata-data_processing,,"The survey was conducted in October and November 1993 with a sample of about 2,000 households and 10,000 members of those households. The 1993 KMPS survey was designed to be a nationally representative survey of living standards in the Kyrgyz Republic during the second half of 1993."
Kyrgyzstan,Global Financial Inclusion (Global Findex) Database,GFI,2017,household survey,individual,,"1,000",national,World Bank,Development Economics Data Group,World Bank/The Bill and Melinda Gates Foundation,https://globalfindex.worldbank.org/,"Gallup, Inc",,cross-sectional,Yes,yes,https://microdata.worldbank.org/index.php/catalog/3372/study-description#metadata-data_access,,"The Global Findex database is the world’s most comprehensive data set on how adults save, borrow, make payments, and manage risk."
Kyrgyzstan,Global Financial Inclusion (Global Findex),GFI,2014,household survey,individual,,"1,000",national,World Bank,Development Economics Data Group,World Bank/The Bill and Melinda Gates Foundation,https://globalfindex.worldbank.org/,"Gallup, Inc.",,cross-sectional,Yes,yes,https://microdata.worldbank.org/index.php/catalog/2443,,"The Global Findex database is the world’s most comprehensive data set on how adults save, borrow, make payments, and manage risk."
Kyrgyzstan,Jobs Skills and Migration Survey,JSM,2013,household survey,individual,household,"1,500",national,World Bank,Developmet Data Group,Bank Netherlands Partnership Program,https://microdata.worldbank.org/index.php/catalog/2814,Poverty - GP,,cross-sectional,Yes,Yes,https://microdata.worldbank.org/index.php/catalog/2814/get-microdata,,"The survey collects comprehensive information not typically captured by traditional household surveys. It includes two distinct instruments: a core questionnaire and a skills questionnaire. The core questionnaire contains modules on education, employment, migration, health expenditure, remittances, government transfers, financial services, subjective poverty, and housing conditions, as well as a complete household expenditure module."
Kyrgyzstan,Global financial Inclusion,GFI,2011,individual survey,individual,,"1,000",national,World Bank,Development Economics Data Group,"Development Research Group, World Bank/The Bill and Melinda Gates Foundation",https://microdata.worldbank.org/index.php/catalog/1192#metadata-producers_sponsors,"Gallup, Inc",,cross-sectional,Yes,Yes,https://microdata.worldbank.org/index.php/catalog/1192/get-microdata,,"The Global Findex database is the world’s most comprehensive data set on how adults save, borrow, make payments, and manage risk."
Kyrgyzstan,Census of Population and Housing of the Kyrgyz Republic 2009 - IPUMS Subset,CPHK,2009,individual survey,individual,household,"564,986",national,World Bank,National Statistical Committee of the Kyrgyz Republic,Minnesota Population Center,https://international.ipums.org/international/,,,cross-sectional,Yes,yes,https://microdata.worldbank.org/index.php/catalog/1632#metadata-producers_sponsors,,"IPUMS-International is an effort to inventory, preserve, harmonize, and disseminate census microdata from around the world. The project has collected the world's largest archive of publicly available census samples. The data are coded and documented consistently across countries and over time to facillitate comparative research."
Kyrgyzstan,First National Population Census of the Kyrgyz Republic 1999 - IPUMS Subset,NPC,1999,household/inidividual survey,household,individual,"476,886",national,World Bank,,Minnesota Population Center,https://international.ipums.org/international/,NSC,,cross-sectional,Yes,yes,https://microdata.worldbank.org/index.php/catalog/508/study-description#metadata-producers_sponsors,,"IPUMS-International is an effort to inventory, preserve, harmonize, and disseminate census microdata from around the world. The project has collected the world's largest archive of publicly available census samples. The data are coded and documented consistently across countries and over time to facillitate comparative research."
Kyrgyzstan,Poverty Monitoring Survey,PMS,1998,,household,"individual,community","2,000",national,World Bank,Research Triangle Institute,,https://microdata.worldbank.org/index.php/catalog/283,NSC,,cross-sectional,Yes,Yes,https://microdata.worldbank.org/index.php/catalog/283/get-microdata,,"The main purpose of the KPMS surveys is to provide data for the study of multiple aspects of household welfare and behavior, analysis of poverty, and understanding the effect of government policies on households."
Kyrgyzstan,World Values Survey,WVS,2011,household survey,household,,"1,500",national,Development Economics Data Group,Temirlan Tilekovich Moldogaziev Department of International & Comparative Politics,,https://catalog.ihsn.org/catalog/9034,Tsentr Izucheniya Obshchestvennogo Mneniya i Prognozirovaniya «El-Pikir»,,cross-sectional,No,,,,"The World Values Survey is a global network of social scientists studying changing values and their impact on social and political life, led by an international team of scholars, with the WVS association and secretariat headquartered in Stockholm, Sweden. The WVS seeks to help scientists and policy makers understand changes in the beliefs, values and motivations of people throughout the world."
Kyrgyzstan,Enterprise Survey,ES,2002,enterprise survey,enterprise,,,national,World Bank,European Bank for Reconstruction and Development,World Bank/European Bank for Reconstruction and Development,https://catalog.ihsn.org/catalog/1835/study-description,,,cross-sectional,No,,,,"The survey topics include company's characteristics, information about sales and suppliers, competition, infrastructure services, judiciary and law enforcement, security, government policies and regulations, bribery, sources of financing, overall business environment, performance and investment activities, and workforce composition."
Kyrgyzstan,Multi Country Study Survey,MCSS,2001,Household Survey,household,,"5,000",national,WHO,SIAR,,https://catalog.ihsn.org/catalog/3854,,,cross-sectional,No,,,https://www.who.int/healthinfo/survey/en/,"In order to develop various methods of comparable data collection on health and health system responsiveness WHO started a scientific survey study in 2000-2001. This study has used a common survey instrument in nationally representative populations with modular structure for assessing health of indviduals in various domains, health system responsiveness, household health care expenditures, and additional modules in other areas such as adult mortality and health state valuations."
Kyrgyzstan,Poverty Monitoring Survey,PMS,1997,household survey,household,individual,,national,World Bank,NSC,,https://catalog.ihsn.org/catalog/335,,,cross-sectional,No,,,,"The main purpose of the KPMS surveys is to provide data for the study of multiple aspects of household welfare and behavior, analysis of poverty, and understanding the effect of government policies on households."
Kyrgyzstan,Poverty Monitoring Survey,PMS,1996,household survey,household,individual,"2,000",national,World Bank,Research Triangle Institute,National Statistical Committee (NATSTATCOM),https://catalog.ihsn.org/catalog/334,,,cross-sectional,No,,,,"The main purpose of the KPMS surveys is to provide data for the study of multiple aspects of household welfare and behavior, analysis of poverty, and understanding the effect of government policies on households."
Kyrgyzstan,Main source of information for the Kyrgyz people,MSI,2015,household survey,household,,"1,000",national,SIAR Omnibus,,,http://siar-consult.com/news/chto-yavlyaetsya-glavnym-istochnikom-informacii-dlya-kyrgyzstancev-2/,SIAR,,cross-sectional,No,,,,This survey is conducted by SIAR with the purpose of determining the main source of information for the population of Kyrgyzstan
Kyrgyzstan,Respect for women's rights in Kyrgyzstan,RFW,2015,individual survey,individual,,"1,000",national,SIAR Omnibus,,,http://siar-consult.com/news/soblyudenie-prav-zhenshhiny-v-kyrgyzstane/,SIAR,,cross-sectional,No,,,,This survey was conducted by SIAR to determine the level of discrimination by gender in the Kyrgyz Republic
Kyrgyzstan,Knowledge of foreign languages by the population of Kyrgyzstan.,KFL,2015,individual survey,individual,,"1,000",national,SIAR,,,http://siar-consult.com/news/vladenie-inostrannymi-yazykami-naseleniem-kyrgyzstana/,SIAR,,cross-sectional,No,,,,This survey was conducted by SIAR to determine the level of knowledge of foreign languages by the population of Kyrgyzstan
Kyrgyzstan,General Social Survey of the Russian Federation and Central Asia,GSS,1992,individual survey,individual,,507,national,"GWU, USSR Academy of Sciences",,National Council for Soviet and East European Research,https://www.icpsr.umich.edu/web/ICPSR/studies/6499,,PAPI,cross-sectional,Yes,Yes,https://www.icpsr.umich.edu/web/ICPSR/studies/6499/export,,"The purpose of the study was to gather data on all aspects of social structure, social stratification, and distributive justice. Respondents provided information on their attitudes toward the news media, material status, work status and work history, social and political views, and participation in political activities. In addition, respondents were asked to comment on the role of women as well as on the role of government in daily life."
Kyrgyzstan,"Ethnic Minorities and Political Support: An Examination of Mass Attitudes in Kazakhstan, Kyrgyzstan, and Belarus",EMPS,1998,individual survey,individual,,"2,401",national,Russian Academy of Sciences,Institute of Sociology,National Science Foundation,https://www.icpsr.umich.edu/web/ICPSR/studies/3713/summary,,PAPI,cross-sectional,Yes,Yes,https://www.icpsr.umich.edu/web/ICPSR/studies/3713/export,,"The objective of this collection was to study the attachment of minorities, especially ethnic Russians outside Russia, to their country of residence and assess their level of support for its institutions and leaders."
Kyrgyzstan,"Comparative Study of Electoral Systems, 2001-2006",CSES,2006,individual survey,individual,,"2,000",national,Comparative Study of Electoral Systems,,National Science Foundation,https://www.icpsr.umich.edu/web/ICPSR/studies/3808,,"PAPI, CATI",cross-sectional,Yes,Yes,https://www.icpsr.umich.edu/web/ICPSR/studies/3808/export,,"The Comparative Study of Electoral Systems is an ongoing collaborative program of crossnational research among national election studies designed to advance the understanding of electoral behavior across polities. The project, which is being carried out in over 50 consolidated and emerging democracies, was coordinated by social scientists from around the world."
Kyrgyzstan,World Bank Group Country Survey 2019,WBCS,2019,stakeholders survey,individual,leaders of institutions,583,national,Word Bank,,World Bank,https://microdata.worldbank.org/index.php/catalog/3547,El-Pikir,,panel,Yes,Yes,https://microdata.worldbank.org/index.php/catalog/3547/get-microdata,,"The Country Opinion Survey in Kyrgyz Republic assists the World Bank Group (WBG) in gaining a better understanding of how stakeholders in Kyrgyz Republic perceive the WBG. It provides the WBG with systematic feedback from national and local governments, multilateral/bilateral agencies, media, academia, the private sector, and civil society in Kyrgyz Republic."
Kyrgyzstan,World Bank Group Country Survey 2013,WBCS,2013,stakeholders survey,individual,leaders of institutions,166,national,Word Bank,,World Bank,https://microdata.worldbank.org/index.php/catalog/1906/study-description,El-Pikir,,cross-sectional,Yes,Yes,https://microdata.worldbank.org/index.php/catalog/1906/get-microdata,,"The Country Opinion Survey in Kyrgyz Republic assists the World Bank Group (WBG) in gaining a better understanding of how stakeholders in Kyrgyz Republic perceive the WBG. It provides the WBG with systematic feedback from national and local governments, multilateral/bilateral agencies, media, academia, the private sector, and civil society in Kyrgyz Republic."
Kyrgyzstan,World Bank Group Country Survey 2016,WBCS,2016,stakeholders survey,individual,leaders of institutions,322,national,Word Bank,,World Bank,https://microdata.worldbank.org/index.php/catalog/2708,M-Vector,,panel,Yes,Yes,https://microdata.worldbank.org/index.php/catalog/2708/get-microdata,,"The Country Opinion Survey in Kyrgyz Republic assists the World Bank Group (WBG) in gaining a better understanding of how stakeholders in Kyrgyz Republic perceive the WBG. It provides the WBG with systematic feedback from national and local governments, multilateral/bilateral agencies, media, academia, the private sector, and civil society in Kyrgyz Republic."
Kyrgyzstan,Kyrgyz Integrated Household Survey 2015 - Migration Module,KIHS-MM,2015,household survey,household,individual,"4,966",national,NSC,,"NSC, World Bank",https://catalog.ihsn.org/catalog/6718/study-description,NSC,,rotating panel,Yes,Yes,http://www.stat.kg/media/files/d6f46b02-8a59-43a6-8980-f5af9f259183.rar,,"This Kyrgyz Integrated Household Survey- Migration Module (KIHS-MG) is a part of the official Kyrgyz Integrated Household Survey (KIHS) 2015 which is conducted quarterly. The KIHS is a rotating panel with a maximum of one quarter of the sample being replaced each year. In line with the Household Budget Survey, the KIHS is designed to measure consumption-based poverty in the country and to analyze the socio-economic dimensions of people's living standards."
Kyrgyzstan,Central Asia Barometer Survey Wave 2,CAB,2017,individual survey,individual,,"1,500",national,CAB,,,https://ca-barometer.org/en/projects/central-asia-barometer-survey-wave-2,CAB,CATI,cross-sectional,Yes,Yes,https://ca-barometer.org/en/cab-database/central-asia-barometer-survey-wave-2,,"The goal of this project was to obtain a reliable understanding of public opinion in several countries. The survey included questions about the political and economic situation in each country, attitudes towards the government, relations between ethnic groups, opinions on political leaders, opinions on other countries, and media usage."
Kyrgyzstan,Central Asia Barometer Survey Wave 3,CAB,2018,individual survey,individual,,"1,500",national,CAB,,,https://ca-barometer.org/en/projects/central-asia-barometer-survey-wave-3,CAB,CATI,cross-sectional,Yes,Yes,https://ca-barometer.org/en/cab-database/central-asia-barometer-survey-wave-3,,"The goal of this project was to obtain a reliable understanding of public opinion in several countries. The survey included questions about the political and economic situation in each country, attitudes towards the government, relations between ethnic groups, opinions on political leaders, opinions on other countries, and media usage."
Kyrgyzstan,Central Asia Barometer Survey Wave 4,CAB,2018,individual survey,individual,,"1,500",national,CAB,,,https://ca-barometer.org/en/projects/central-asia-barometer-survey-wave-4,CAB,CATI,cross-sectional,Yes,Yes,https://ca-barometer.org/en/cab-database/central-asia-barometer-survey-wave-4,,"The goal of this project was to obtain a reliable understanding of public opinion in several countries. The survey included questions about the political and economic situation in each country, attitudes towards the government, relations between ethnic groups, opinions on political leaders, opinions on other countries, and media usage."
Kyrgyzstan,Central Asia Barometer Survey Wave 5,CAB,2019,individual survey,individual,,"1,500",national,CAB,,,https://ca-barometer.org/en/projects/central-asia-barometer-survey-wave-5,CAB,CATI,cross-sectional,Yes,No,https://ca-barometer.org/en/buy-survey-data/central-asia-barometer-survey-wave-5,,"The goal of this project was to obtain a reliable understanding of public opinion in several countries. The survey included questions about the political and economic situation in each country, attitudes towards the government, relations between ethnic groups, opinions on political leaders, opinions on other countries, and media usage."
Kyrgyzstan,Central Asia Barometer Survey Wave 6,CAB,2019,individual survey,individual,,"1,500",national,CAB,,,https://ca-barometer.org/en/projects/central-asia-barometer-survey-wave-6,CAB,CATI,cross-sectional,Yes,No,https://ca-barometer.org/en/buy-survey-data/central-asia-barometer-survey-wave-6,,"The goal of this project was to obtain a reliable understanding of public opinion in several countries. The survey included questions about the political and economic situation in each country, attitudes towards the government, relations between ethnic groups, opinions on political leaders, opinions on other countries, and media usage."
Kyrgyzstan,Central Asia Barometer Survey Wave 7,CAB,2020,individual survey,individual,,"1,500",national,CAB,,,https://ca-barometer.org/en/projects/central-asia-barometer-survey-wave-7,CAB,CATI,cross-sectional,Yes,No,https://ca-barometer.org/en/buy-survey-data/central-asia-barometer-survey-wave-7,,"The goal of this project was to obtain a reliable understanding of public opinion in several countries. The survey included questions about the political and economic situation in each country, attitudes towards the government, relations between ethnic groups, opinions on political leaders, opinions on other countries, and media usage."
Kyrgyzstan,Central Asia Barometer Survey Wave 8,CAB,2020,individual survey,individual,,"1,500",national,CAB,,,https://ca-barometer.org/en/projects/central-asia-barometer-survey-wave-8,CAB,CATI,cross-sectional,Yes,No,https://ca-barometer.org/en/buy-survey-data/central-asia-barometer-survey-wave-8,,"The goal of this project was to obtain a reliable understanding of public opinion in several countries. The survey included questions about the political and economic situation in each country, attitudes towards the government, relations between ethnic groups, opinions on political leaders, opinions on other countries, and media usage."
Kyrgyzstan,Internal Migration and Social Mobility Study in Kyrgyzstan,IMSMS,2018,individual survey,individual,,"6,000",national,CAB,,,https://ca-barometer.org/en/projects/internal-migration-and-social-mobility-study-in-kyrgyzstan,CAB,"CATI, PAPI",cross-sectional,No,,,,"The goal of the project was to obtain reliable national data on internal migration focused on human trafficking, bride kidnapping and violent extremism. The project was implemented in two stages; first through telephone interviews to study the scope of internal migration across Kyrgyzstan; then to examine in detail the motivations for internal migration through face-to-face interviews."
Kyrgyzstan,World Values Survey in Kyrgyzstan,WVS,2019,individual survey,individual,,"1,200",national,CAB,,,https://ca-barometer.org/en/projects/world-values-survey-in-kyrgyzstan,CAB,PAPI,cross-sectional,No,,,,"The goal of this project was to survey the population of the Kyrgyzstan on values and beliefs, their changes over time and their social and political impact."
Kyrgyzstan,Media Research 8th wave,MR,2017,individual survey,individual,,"2,167",national,M-Vector,"Soros Foundation Kyrgyzstan, Internews Network",Soros Foundation,http://www.m-vector.com/uploads/files///M-Vector_Media_8%20wave_report_eng_open.pdf,M-Vector,TAPI,cross-sectional,No,,,,"Understanding the necessity and significance of media research in Kyrgyzstan, especially the need to understand the situation on the television market after the transition of Kyrgyzstan to the DTV, M-Vector Company, the Representative Office of Internews Network in the Kyrgyz Republic, and Soros Foundation Kyrgyzstan initiated the eighth wave of media research at the end of 2017"
Kyrgyzstan,Survey on Public Awareness of Deposit Protection System in the Kyrgyz Republic,PADPS,2019,individual survey,individual,,"2,013",national,Deposit Protection Agency,,IFC,http://www.m-vector.com/en/news/presentation-of-results-of-survey-on-public-awareness-of-deposit-protection-system-in-the-kyrgyz-republic,M-Vector,TAPI,cross-sectional,No,,,,"Commissioned by the Kyrgyz Republic Deposit Protection Agency with financial support from IFC, the survey was conducted by M-Vector. It covered 2013 respondents from 126 settlements across Kyrgyzstan."
Kyrgyzstan,Gender in Society Perception Study,GSPS,2016,household survey,household,individual,"6,000",national,UNFPA,NSC,,https://kyrgyzstan.unfpa.org/sites/default/files/pub-pdf/GSPS_english.pdf,NSC,PAPI,cross-sectional,No,,,,"The overall goal of the project is to collect data at the national, community and society levels and information about key risk factors for gender inequality, as well as threats of violence affecting women and girls."
Kyrgyzstan,"Remittances and Poverty in Central Asia and South
Caucasus",RPCA,2007,household survey,household,individual,"3,995",national,ADB,,ADB,https://www.adb.org/projects/40038-012/main#project-overview,Sotseconic,PAPI,cross-sectional,No,,https://unece.org/fileadmin/DAM/stats/documents/ece/ces/ge.10/2013/mtg1/Mogilevsky_remiitances_Kyrgyzstan_ADB.pdf,https://www.adb.org/sites/default/files/project-document/68450/40038-reg-tar.pdf,"The reports will inform policy-makers in Central Asia and South Caucasus and help ADB develop public and private sector projects aimed at facilitating formal remittance inflows to the region, directing them to productive investments, and increasing their positive effects on financial sector development and poverty reduction."
Kyrgyzstan,Migrant Remittances Survey,MRS,2005,individual survey,individual,,"1,177",national,Economic Policy Institute,,Soros Foundation,,EPI,PAPI,cross-sectional,No,,,http://pdc.ceu.hu/archive/00003286/01/emigrant_remittances.pdf,"The project aims to support development of economic policy institutes (EPIs) in the countries in transition, with particular emphasis on low and middle income countries. The principal goal of the initiative is to develop capacity of economic policy institutes so as to provide these countries with independent, sophisticated voices in policy issues."
Tajikistan,World Bank Group Country Survey,WBCS,2014,stakeholders survey,individual,,272,national,World Bank,Public Opinion Research Group,World Bank,https://microdata.worldbank.org/index.php/catalog/2239,Tahlil va Mashvarat,,cross-sectional,Yes,Yes,https://microdata.worldbank.org/index.php/catalog/2239/get-microdata,,"The World Bank Group Country Opinion Survey Program systematically measures and tracks the perceptions of the World Bank's clients, partners, and other stakeholders across the globe in client countries."
Tajikistan,World Bank Group Country Survey,WBCS,2017,stakeholders survey,individual,,362,national,World Bank,Public Opinion Research Group,World Bank,https://microdata.worldbank.org/index.php/catalog/2904,Tahlil va Mashvarat,,cross-sectional,Yes,Yes,https://microdata.worldbank.org/index.php/catalog/2904/get-microdata,,"The World Bank Group Country Opinion Survey Program systematically measures and tracks the perceptions of the World Bank's clients, partners, and other stakeholders across the globe in client countries."
Tajikistan,Global Financial Inclusion (Global Findex),GFI,2011,individual survey,individual,,"1,000",national,World Bank,Gallup inc.,"World Bank, Bill and Melinda Gates Foundation",https://microdata.worldbank.org/index.php/catalog/1112,Gallup inc.,PAPI,cross-sectional,Yes,Yes,https://microdata.worldbank.org/index.php/catalog/1112/get-microdata,,"The Global Financial Inclusion (Global Findex) Database is a project funded by the Bill & Melinda Gates Foundation to measure how people - including the poor, women, and rural residents around the world save, borrow, make payments and manage risk."
Tajikistan,Global Financial Inclusion (Global Findex),GFI,2014,individual survey,individual,,"1,000",national,World Bank,Gallup inc.,"World Bank, Bill and Melinda Gates Foundation",https://microdata.worldbank.org/index.php/catalog/2498,Gallup inc.,PAPI,cross-sectional,Yes,Yes,https://microdata.worldbank.org/index.php/catalog/2498/get-microdata,,"The Global Financial Inclusion (Global Findex) Database is a project funded by the Bill & Melinda Gates Foundation to measure how people - including the poor, women, and rural residents around the world save, borrow, make payments and manage risk."
Tajikistan,Global Financial Inclusion (Global Findex),GFI,2017,individual survey,individual,,"1,000",national,World Bank,Gallup inc.,"World Bank, Bill and Melinda Gates Foundation",https://microdata.worldbank.org/index.php/catalog/3228,Gallup inc.,PAPI,cross-sectional,Yes,Yes,https://microdata.worldbank.org/index.php/catalog/3228/get-microdata,,"The Global Financial Inclusion (Global Findex) Database is a project funded by the Bill & Melinda Gates Foundation to measure how people - including the poor, women, and rural residents around the world save, borrow, make payments and manage risk."
